央视,#genre#
深圳卫视,https://live.goodiptv.club/api/cqyx.php?id=shenzhenHD$重庆有线
深圳卫视,https://tv.iill.top/bestv/szwshd8m/8000000$百视通

吉林卫视,https://live.goodiptv.club/api/cqyx.php?id=jilinHD$重庆有线
吉林卫视,https://tv.iill.top/bestv/jlwshd8m/8000000$百视通

山东卫视,https://tv.iill.top/bestv/sdws8m/8000000$百视通

江西卫视,https://live.goodiptv.club/api/cqyx.php?id=jiangxiHD$重庆有线
江西卫视,https://tv.iill.top/bestv/jxws8m/8000000$百视通

东南卫视,https://live.goodiptv.club/api/cqyx.php?id=dongnanHD$重庆有线
东南卫视,https://tv.iill.top/bestv/dnwshd8m/8000000$百视通

海南卫视,https://live.goodiptv.club/api/cqyx.php?id=hainanSD$重庆有线
海南卫视,https://tv.iill.top/bestv/hainanwshd8m/8000000$百视通

河南卫视,https://live.goodiptv.club/api/cqyx.php?id=henanHD$重庆有线
河南卫视,https://tv.iill.top/bestv/hnwshd8m/8000000$百视通

河北卫视,https://live.goodiptv.club/api/cqyx.php?id=hebeiSD$重庆有线
河北卫视,https://tv.iill.top/bestv/hbwshd8m/8000000$百视通

云南卫视,https://live.goodiptv.club/api/cqyx.php?id=yunnanSD$重庆有线
云南卫视,https://tv.iill.top/bestv/ynwshd8m/8000000$百视通

贵州卫视,https://live.goodiptv.club/api/cqyx.php?id=guizhouHD$重庆有线
贵州卫视,https://tv.iill.top/bestv/gzwshd8m/8000000$百视通

甘肃卫视,https://tv.iill.top/bestv/gswshd8m/8000000$百视通

宁夏卫视,https://live.goodiptv.club/api/cqyx.php?id=ningxia$重庆有线
宁夏卫视,https://tv.iill.top/bestv/nxws/1300000$百视通

青海卫视,https://live.goodiptv.club/api/cqyx.php?id=qinghaiSD$重庆有线
青海卫视,https://tv.iill.top/bestv/qhws/1300000$百视通

湖北卫视,https://live.goodiptv.club/api/cqyx.php?id=hubeiSD$重庆有线
湖北卫视,https://tv.iill.top/bestv/hubeiws8m/8000000$百视通

陕西卫视,https://tv.iill.top/bestv/sxws/1300000$百视通

山西卫视,https://live.goodiptv.club/api/cqyx.php?id=shanxiSD$重庆有线
山西卫视,https://tv.iill.top/bestv/shanxiws/1300000$百视通

厦门卫视,https://tv.iill.top/bestv/xmws/1300000$百视通

内蒙古卫视,https://tv.iill.top/bestv/nmgws/1300000$百视通

西藏卫视,https://live.goodiptv.club/api/cqyx.php?id=xizangSD$重庆有线
西藏卫视,https://tv.iill.top/bestv/xzws/2500000$百视通

兵团卫视,https://live.goodiptv.club/api/cqyx.php?id=bingtuanSD$重庆有线
兵团卫视,https://tv.iill.top/bestv/btws/1300000$百视通

新疆卫视,https://live.goodiptv.club/api/cqyx.php?id=xinjiangSD$重庆有线
新疆卫视,https://tv.iill.top/bestv/xjws/1300000$百视通

三沙卫视,https://live.goodiptv.club/api/cqyx.php?id=sanshaSD$重庆有线

体育,#genre# 
五星体育,https://tv.iill.top/bestv/wxtyhd8m/8000000$百视通
劲爆体育,https://tv.iill.top/bestv/jbtyhd8m/8000000$百视通
魅力足球,https://tv.iill.top/bestv/mlyyhd/4000000$百视通
新视觉,https://tv.iill.top/bestv/xsjhd8m/8000000$百视通

电影,#genre#
